District code,State name,District name,Population Total,Literacy rate,name,Place,Coordinates,Area,Population
1,JAMMU AND KASHMIR,Kupwara,870354,0.505143884,"Kupwara, JAMMU AND KASHMIR","Kupwara, JK, India","34.524600982666016, 74.25959777832031",17658,49.28950051
2,JAMMU AND KASHMIR,Badgam,753745,0.445308427,"Badgam, JAMMU AND KASHMIR","Badgam, JK, India","34.018577575683594, 74.75067901611328",6552,115.0404457
3,JAMMU AND KASHMIR,Leh,133487,0.702465409,"Leh(Ladakh), JAMMU AND KASHMIR","Leh, JK, India","34.14830017089844, 77.57949829101562",1502,88.87283622
4,JAMMU AND KASHMIR,Kargil,140802,0.612462891,"Kargil, JAMMU AND KASHMIR","Kargil, JK, India","34.56012725830078, 76.12614440917969",10434,13.49453709
5,JAMMU AND KASHMIR,Punch,476835,0.548877494,"Punch, JAMMU AND KASHMIR","JK, India","33.70637130737305, 74.26580047607422",1086,439.0745856
6,JAMMU AND KASHMIR,Rajouri,642415,0.566781598,"Rajouri, JAMMU AND KASHMIR","Rajauri, JK, India","33.36880111694336, 74.31690216064453",2630,244.2642586
7,JAMMU AND KASHMIR,Kathua,616435,0.631378815,"Kathua, JAMMU AND KASHMIR","Kathua, JK, India","32.38100051879883, 75.54910278320312",1989,309.9220714
8,JAMMU AND KASHMIR,Baramula,1008039,0.540801497,"Baramula, JAMMU AND KASHMIR","Baramula, JK, India","34.20389938354492, 74.35440063476562",6992,144.1703375
9,JAMMU AND KASHMIR,Bandipore,392232,0.474155602,"Bandipore, JAMMU AND KASHMIR","Bandipura, JK, India","34.42035675048828, 74.6576156616211",2196,178.6120219
10,JAMMU AND KASHMIR,Srinagar,1236829,0.605244541,"Srinagar, JAMMU AND KASHMIR","Srinagar, JK, India","34.071746826171875, 74.8043212890625",2337,529.2379119
11,JAMMU AND KASHMIR,Ganderbal,297446,0.481687432,"Ganderbal, JAMMU AND KASHMIR","Ganderbal, JK, India","34.217201232910156, 74.77999877929688",259,1148.440154
12,JAMMU AND KASHMIR,Pulwama,560440,0.524512883,"Pulwama, JAMMU AND KASHMIR","Pulwama, JK, India","33.85710906982422, 74.9011001586914",4644,120.6804479
13,JAMMU AND KASHMIR,Shupiyan,266215,0.512743459,"Shupiyan, JAMMU AND KASHMIR","Shupiyan, JK, India","33.71920394897461, 74.83097076416016",2895,91.95682211
14,JAMMU AND KASHMIR,Anantnag,1078692,0.505734723,"Anantnag, JAMMU AND KASHMIR","Anantnag, JK, India","33.729793548583984, 75.15032958984375",3574,301.8164522
15,JAMMU AND KASHMIR,Kulgam,424483,0.492563895,"Kulgam, JAMMU AND KASHMIR","Kulgam, JK, India","33.64680099487305, 75.00700378417969",5503,77.13665273
16,JAMMU AND KASHMIR,Doda,409936,0.534432204,"Doda, JAMMU AND KASHMIR","Doda, JK, India","33.14459991455078, 75.54620361328125",3642,112.5579352
17,JAMMU AND KASHMIR,Ramban,283713,0.437290501,"Ramban, JAMMU AND KASHMIR","Ramban, JK, India","33.239498138427734, 75.2396011352539",1329,213.4785553
18,JAMMU AND KASHMIR,Kishtwar,230696,0.466007213,"Kishtwar, JAMMU AND KASHMIR","Kishtwar, JK, India","33.31119918823242, 75.76969909667969",3387,68.11219368
